year,ID,ticker,company_name,market_cap,bic_level_2,bic_level_3,unequal_voting,ceo_tenure,ipo_date,total_return_5y,total_return_4y,total_return_3y,total_return_2y,total_return_1y,total_return_6m,total_return_3m,capex,net_capex,short_term_wc,long_term_wc,modified_wc,ebit,ebitda,net_income,net_revenue,ebitda_margin,operating_margin,operating_margin_2y_before,operating_margin_1y_before,net_debt,sales_to_total_assets,free_float_percentage,rsi_14d,rsi_30d,volatility_30d,volatility_90d,volatility_180d,roe,normalized_roe,headline_roe,operating_roe,operating_roic,pe_ratio,eps_adjusted_diluted,eps_gaap_diluted,eps_adjusted_headline,eps_gaap_basic,ev_to_sales,tobin_q_ratio,board_size,pb_ratio,employee_growth_rate,fcf_yield,fcf_to_equity,headline_fcf,unlevered_fcf,ev,sales_growth_rate,current_shares_outstanding,shares_outstanding,volume_30d_average,volume_30d_average_to_outstanding,insider_shares_percentage,classified_board_system,poison_pill,repurchase,net_repurchase,dividend_per_share,dividend_to_common,dividend_to_preferred,dividend_payout_ratio,total_compensation_to_executives,total_compensation_to_board_members,institution_ownership_percentage,asset_to_equity,current_asset,current_liability,non_current_asset,non_current_liability,cash_conversion_cycle,interest_expense,ceo_is_female
2018,1806854D UN Equity,1806854D,Dun & Bradstreet Corp/The,5300113408,Software & Tech Services,Technology Services,0,0.916667,,0.257971,0.256467,0.439418,0.20809,0.226806,0.155724,0.000631,-3.20E+07,-3.20E+07,4.25E+08,-2.90E+08,1.88E+08,459500000,5.47E+08,233300000,1.76E+09,30.53401,25.64031,19.2894,21.65532,1.10E+09,0.927876152,99.48445,50.75243,52.64126,7.26E-02,0.047901,0.240144,,,-24.1,,61.14845,20.11623,7.095762,6.26,7.71,6.3,3.58195,4.127362,8,,2.083333,4.677258,-1.00E+08,2.23E+08,2.69E+08,6.42E+09,3.434145,37131243,37100000,480066.6,,0.384,0,0,0,0,2.06,76584000,0,32.8264,,,102.556,-2.64539,504700000,796600000,1426700000,1864900000,,55700000,
2018,1812209D UW Equity,1812209D,Match Group Inc/old,11893743616,Media,Internet Media & Services,1,3.583333333,19/11/2015,2.052676,2.052676,2.320771,1.596448,0.389637,0.139728,-0.20445,-2.80E+07,-2.80E+07,5.32E+08,2.35E+08,1.26E+08,529956000,5.65E+08,353372000,1.60E+09,34.22421,32.09106,22.40626,27.06808,8.52E+08,0.710360016,74.63229,53.15069,48.46323,5.81E-01,0.668722,0.611077,60.91019,72.46277,57.18,91.34771,31.60789,29.74168,1.438049,1.19,1.24,1.28,7.724729,6.855876,10,18.6577,-22.2222,4.104847,4.93E+08,4.88E+08,5.15E+08,1.28E+10,32.47082,68166729,2.78E+08,2605391,,2.329,0,0,,,0,0,0,0,23950111,2779613,161.62,3.583509,607667000,373073000,1717088000,1302945000,,74453000,1
2018,1812212D UW Equity,1812212D,Match Group Inc,11893743616,Media,Internet Media & Services,1,3.583333333,,1.767018,2.071475,2.048127,1.714116,0.415732,0.191279,-0.13058,-7.50E+07,-7.50E+07,8.77E+08,1.58E+09,2.71E+08,547862000,6.94E+08,496667000,,19.7107,15.5569,-4.74831,8.453747,1.18E+08,0.552648184,98.76064,53.13651,49.80229,4.92E-01,0.458775,0.421161,19.75054,13.87393,19.75054,21.78636,11.08619,,,,,,,,12,,0,,1.07E+09,6.70E+08,4.97E+08,,30.15504,77724487,,856764.2,,1.239,0,0,35813721,-3.60E+07,,0,0,0,23950111,2779613,102.354,1.875256,2472894000,893505000,3899453000,2080720000,,1.04E+08,0.00E+00
2018,1816375D UW Equity,1816375D,Caesars Holdings Inc,4547487232,Consumer Discretionary Services,Leisure Facilities & Services,0,4.333333333,08/02/2012,-0.68477,-0.56724,-0.13942,-0.18193,-0.45462,-0.35024,-0.33103,-7.00E+08,-7.00E+08,,3.27E+08,1.87E+08,792000000,1.92E+09,2.11E+09,8.26E+09,23.41935,9.685704,8.394404,12.89744,1.74E+10,0.314911808,87.1104,41.00772,39.96891,6.92E-01,0.66088,0.558508,,,27.5,,5.771123,,-0.17565,2.61,-0.137314,3.16,2.692856,1.117791,12,1.476936,-4.41176,-44.8599,-2.20E+09,-2.00E+09,,2.20E+10,108.81,6.70E+08,6.70E+08,17449735,,1.069,1,0,,,0,0,0,0,18488735,1660000,128.904,8.198926,2380000000,2053000000,23586000000,20746000000,-7.20947,1.37E+09,0.00E+00
2018,1832555D UQ Equity,1832555D,Array BioPharma Inc,3036277248,Health Care,Biotech & Pharma,0,8.083333333,17/11/2000,1.844311,2.012685,2.376777,0.66472,0.051661,-0.14001,-0.06924,-1473000,-1473000,-1.20E+08,3.91E+08,29769000,-119346000,-1.20E+08,-1.34E+08,1.33E+08,-58.3053,-59.3962,-54.5731,-80.3703,-2.80E+08,0.414960999,99.57387,43.89439,46.54624,5.71E-01,0.670759,0.546152,-60.2048,-58.3582,-2483.3,-53.5557,-34.0965,,-0.62978,-0.65,-0.62939,-0.65,13.69607,7.165673,8,13.85702,42.58373,-4.54543,-1.20E+08,-1.40E+08,-1.40E+08,2.75E+09,42.17524,2.13E+08,2.13E+08,2380148,,0.426,1,0,,,0,0,0,,50735513,3923710,99.444,2.210359,476210000,84766000,8009000,180385000,,10181000,0
2018,1872828D UW Equity,1872828D,Assertio Therapeutics Inc,,Health Care,Biotech & Pharma,,0.4166666667,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,99.12891,,,,,,,,,,,,,,,,,,7,,,,,,,,,63939066,,1036301,,,,,,,,,,,13382189,1653000,,,,,,,,,
2018,1885807D UW Equity,1885807D,athenahealth Inc,5432617984,Software & Tech Services,Software,0,,20/09/2007,-0.01911,-0.09451,-0.18041,0.215385,-0.02921,-0.17544,0.04276,-4.50E+07,-4.50E+07,3.37E+08,3.90E+08,1.65E+08,162100000,3.18E+08,125500000,1.31E+09,24.26415,12.36084,1.544915,3.756466,-4.50E+07,0.82529893,98.28943,54.72181,50.16036,8.99E-02,0.292761,0.265314,13.84446,16.24413,15.1,17.88196,13.66376,36.6253,3.602155,3.07,4.53,3.11,4.108066,3.403597,9,5.015786,-9.31522,5.478022,2.79E+08,2.98E+08,2.75E+08,5.39E+09,11.20156,41178033,40600000,916176.4,,1.711,1,0,,,0,0,0,0,,,125.47,1.487967,614400000,224000000,974600000,297100000,,,
2018,1893407D UW Equity,1893407D,Achillion Pharmaceuticals Inc,220399712,Health Care,Biotech & Pharma,0,6.25,26/10/2006,-0.52108,-0.8702,-0.85264,-0.61314,-0.48544,-0.44792,-0.56319,-547000,-547000,-6.60E+07,2.78E+08,-1515000,-82094000,-8.10E+07,-76874000,0,,,-136.358,-470.073,-2.80E+08,0,97.35173,33.18339,36.67618,1.63E+00,1.061461,0.866364,-24.5509,-24.0715,-24.5509,-26.2179,-26.1954,,-0.55165,-0.55828,-0.543343,-0.558275,,1.496787,8,0.785568,8.641975,-32.2623,-7.10E+07,-7.10E+07,-7.10E+07,-6.10E+07,-100,1.39E+08,1.39E+08,3102936,,0.129,1,0,,,0,0,0,,18692000,1709000,79.935,1.030912,286434000,8624000,2743000,47000,,37000,0
2018,1897377D UN Equity,1897377D,Sprint LLC,23731496960,Telecommunications,Telecommunications,0,5.666666667,10/04/1963,-0.4586,0.40241,0.607735,-0.32009,-0.01855,0.071823,-0.11145,-1.80E+10,-1.80E+10,1.83E+10,1.32E+09,2.04E+08,2556000000,1.80E+10,7.60E+09,3.22E+10,54.74453,7.773723,2.447822,7.672133,3.18E+10,0.374270071,14.55697,43.08991,45.28888,3.21E-01,0.354162,0.321142,32.06596,5.970646,-1.5,10.78003,3.411366,16.93914,0.343583,1.87,-1.492033,1.9,1.689705,0.960746,10,0.835468,7.142857,-6.29964,-3.20E+09,6.55E+08,-8.60E+09,5.56E+10,-0.88026,4.08E+09,4.08E+09,13874107,,0.947,0,0,,,0,0,0,0,152282978,1777957,93.796,3.08639,14447000000,12926000000,73404000000,46461000000,-33.6826,2.43E+09,0.00E+00
2018,1899263D UN Equity,1899263D,Instructure Inc,1315031936,Software & Tech Services,Software,0,8.25,13/11/2015,1.083889,1.083889,0.801633,0.894444,0.124738,-0.1297,0.08098,-1.40E+07,-1.40E+07,9.19E+06,7.67E+07,3.61E+07,-48996000,-3.80E+07,-47600000,1.92E+08,-19.4488,-24.8549,-51.8624,-34.8983,-1.70E+08,0.652350743,90.40455,53.47524,51.93975,4.04E-01,0.521233,0.45707,,,888.99,,-84.2312,,-1.46912,-1.45,-0.87,-1.45,5.801362,4.127451,6,10.44132,20.12645,-1.41358,-1.80E+07,-1326000,-6.60E+07,1.14E+09,33.40552,35058168,35058168,318926.4,,9.12,,,,,0,0,0,,11878790,939442,107.79,2.399309,239974000,163285000,62207000,12951000,,91000,
